realtime_us,id,x,y,z,r,u,v,buttons,pov
1783141535588349,0,4814,34372,32768,14544,15655,0,0,65535
1783141535589427,0,4917,35652,32768,15655,14544,0,0,65535
1783141535590497,0,5079,36926,32768,16833,13506,0,0,65535
1783141535591569,0,5299,38191,32768,18074,12543,0,0,65535
1783141535592641,0,5576,39444,32768,19373,11660,0,0,65535
1783141535593708,0,5911,40684,32768,20725,10861,0,0,65535
1783141535594775,0,6302,41907,32768,22124,10148,0,0,65535
1783141535595843,0,7251,44293,32768,25043,8992,0,0,65535
1783141535596912,0,7806,45451,32768,26551,8554,0,0,65535
1783141535597981,0,8413,46582,32768,28084,8211,0,0,65535
1783141535599049,0,9072,47684,32768,29635,7966,0,0,65535
1783141535600177,0,9781,48755,32768,31199,7818,0,0,65535
1783141535601299,0,10538,49792,32768,32768,7768,0,0,65535
1783141535602385,0,11342,50793,32768,34337,7818,0,0,65535
1783141535603475,0,12191,51756,32768,35901,7966,0,0,65535
1783141535604595,0,13083,52680,32768,37452,8211,0,0,65535
1783141535605701,0,14017,53561,32768,38985,8554,0,0,65535
1783141535606795,0,16000,55191,32768,41971,9524,0,0,65535
1783141535607890,0,17046,55937,32768,43412,10148,0,0,65535
1783141535608986,0,18125,56633,32768,44811,10861,0,0,65535
1783141535610099,0,19234,57279,32768,46163,11660,0,0,65535
1783141535611174,0,20372,57874,32768,47462,12543,0,0,65535
1783141535612249,0,21537,58416,32768,48703,13506,0,0,65535
1783141535613407,0,22724,58904,32768,49881,14544,0,0,65535
1783141535614479,0,23933,59337,32768,50992,15655,0,0,65535
1783141535615612,0,25160,59714,32768,52030,16833,0,0,65535
1783141535616678,0,26404,60035,32768,52993,18074,0,0,65535
1783141535617746,0,28928,60503,32768,54675,20725,0,0,65535
1783141535618818,0,30204,60650,32768,55388,22124,0,0,65535
1783141535619969,0,31485,60738,32768,56012,23565,0,0,65535
1783141535621064,0,32768,60768,32768,56544,25043,0,0,65535
1783141535622168,0,34051,60738,32768,56982,26551,0,0,65535
1783141535623276,0,35332,60650,32768,57325,28084,0,0,65535
1783141535624349,0,36608,60503,32768,57570,29635,0,0,65535
1783141535625482,0,37875,60298,32768,57718,31199,0,0,65535
1783141535626553,0,39132,60035,32768,57768,32768,0,0,65535
1783141535627652,0,40376,59714,32768,57718,34337,0,0,65535
1783141535628760,0,42812,58904,32768,57325,37452,0,0,65535
1783141535630896,0,43999,58416,32768,56982,38985,0,0,65535
1783141535631965,0,45164,57874,32768,56544,40493,0,0,65535
1783141535633034,0,46302,57279,32768,56012,41971,0,0,65535
1783141535634106,0,47411,56633,32768,55388,43412,0,0,65535
1783141535635173,0,48490,55937,32768,54675,44811,0,0,65535
1783141535636247,0,49536,55191,32768,53876,46163,0,0,65535
1783141535637316,0,50546,54399,32768,52993,47462,0,0,65535
1783141535638372,0,51519,53561,32768,52030,48703,0,0,65535
1783141535639441,0,52453,52680,32768,50992,49881,0,0,65535
1783141535640511,0,54194,50793,32768,48703,52030,0,0,65535
1783141535641578,0,54998,49792,32768,47462,52993,0,0,65535
1783141535642647,0,55755,48755,32768,46163,53876,0,0,65535
1783141535643716,0,56464,47684,32768,44811,54675,0,0,65535
1783141535644784,0,57123,46582,32768,43412,55388,0,0,65535
1783141535645853,0,57730,45451,32768,41971,56012,0,0,65535
1783141535646922,0,58285,44293,32768,40493,56544,0,0,65535
1783141535647991,0,58787,43111,32768,38985,56982,0,0,65535
1783141535649060,0,59234,41907,32768,37452,57325,0,0,65535
1783141535650130,0,59625,40684,32768,35901,57570,0,0,65535
1783141535651200,0,60237,38191,32768,32768,57768,0,0,65535
1783141535652269,0,60457,36926,32768,31199,57718,0,0,65535
1783141535653337,0,60619,35652,32768,29635,57570,0,0,65535
1783141535654369,0,60722,34372,32768,28084,57325,0,0,65535
1783141535655436,0,60766,33089,32768,26551,56982,0,0,65535
1783141535656504,0,60751,31806,32768,25043,56544,0,0,65535
1783141535657573,0,60677,30524,32768,23565,56012,0,0,65535
1783141535658641,0,60545,29246,32768,22124,55388,0,0,65535
1783141535659710,0,60354,27977,32768,20725,54675,0,0,65535
1783141535660778,0,60106,26717,32768,19373,53876,0,0,65535
1783141535661846,0,59436,24238,32768,16833,52030,0,0,65535
1783141535662917,0,59017,23025,32768,15655,50992,0,0,65535
1783141535663985,0,58543,21831,32768,14544,49881,0,0,65535
1783141535666197,0,57433,19516,32768,12543,47462,0,0,65535
1783141535667288,0,56799,18399,32768,11660,46163,0,0,65535
1783141535668386,0,56115,17313,32768,10861,44811,0,0,65535
1783141535669556,0,55382,16259,32768,10148,43412,0,0,65535
1783141535670626,0,54601,15239,32768,9524,41971,0,0,65535
1783141535671694,0,53775,14257,32768,8992,40493,0,0,65535
1783141535672764,0,51991,12410,32768,8211,37452,0,0,65535
1783141535673869,0,51037,11550,32768,7966,35901,0,0,65535
1783141535674951,0,50045,10735,32768,7818,34337,0,0,65535
1783141535676056,0,49017,9966,32768,7768,32768,0,0,65535
1783141535677195,0,47955,9245,32768,7818,31199,0,0,65535
1783141535678280,0,46860,8573,32768,7966,29635,0,0,65535
1783141535679397,0,45736,7953,32768,8211,28084,0,0,65535
1783141535680481,0,44585,7384,32768,8554,26551,0,0,65535
1783141535681579,0,43408,6869,32768,8992,25043,0,0,65535
1783141535682649,0,42210,6409,32768,9524,23565,0,0,65535
1783141535683716,0,39756,5655,32768,10861,20725,0,0,65535
1783141535684844,0,38505,5363,32768,11660,19373,0,0,65535
1783141535685964,0,37243,5128,32768,12543,18074,0,0,65535
1783141535687100,0,35971,4952,32768,13506,16833,0,0,65535
1783141535688173,0,34692,4835,32768,14544,15655,0,0,65535
1783141535690361,0,32126,4776,32768,16833,13506,0,0,65535
1783141535691482,0,30844,4835,32768,18074,12543,0,0,65535
1783141535692597,0,29565,4952,32768,19373,11660,0,0,65535
1783141535693706,0,28293,5128,32768,20725,10861,0,0,65535
1783141535694773,0,25780,5655,32768,23565,9524,0,0,65535
1783141535695841,0,24545,6003,32768,25043,8992,0,0,65535
1783141535696967,0,23326,6409,32768,26551,8554,0,0,65535
1783141535698039,0,22128,6869,32768,28084,8211,0,0,65535
1783141535699161,0,20951,7384,32768,29635,7966,0,0,65535
1783141535700228,0,19800,7953,32768,31199,7818,0,0,65535
1783141535701333,0,18676,8573,32768,32768,7768,0,0,65535
1783141535703434,0,17581,9245,32768,34337,7818,0,0,65535
1783141535704504,0,16519,9966,32768,35901,7966,0,0,65535
1783141535705573,0,15491,10735,32768,37452,8211,0,0,65535
1783141535706639,0,13545,12410,32768,40493,8992,0,0,65535
1783141535707686,0,12632,13313,32768,41971,9524,0,0,65535
1783141535708755,0,11761,14257,32768,43412,10148,0,0,65535
1783141535709825,0,10935,15239,32768,44811,10861,0,0,65535
1783141535710895,0,10154,16259,32768,46163,11660,0,0,65535
1783141535711964,0,9421,17313,32768,47462,12543,0,0,65535
1783141535713033,0,8737,18399,32768,48703,13506,0,0,65535
1783141535714103,0,8103,19516,32768,49881,14544,0,0,65535
1783141535715173,0,7522,20661,32768,50992,15655,0,0,65535
1783141535716243,0,6993,21831,32768,52030,16833,0,0,65535
1783141535717312,0,6100,24238,32768,53876,19373,0,0,65535
1783141535718369,0,5736,25470,32768,54675,20725,0,0,65535
1783141535719434,0,5430,26717,32768,55388,22124,0,0,65535
1783141535720504,0,5182,27977,32768,56012,23565,0,0,65535
1783141535721574,0,4991,29246,32768,56544,25043,0,0,65535
1783141535722644,0,4859,30524,32768,56982,26551,0,0,65535
1783141535723713,0,4785,31806,32768,57325,28084,0,0,65535
1783141535724783,0,4770,33089,32768,57570,29635,0,0,65535
1783141535725854,0,4814,34372,32768,57718,31199,0,0,65535
1783141535726923,0,4917,35652,32768,57768,32768,0,0,65535
1783141535727992,0,5299,38191,32768,57570,35901,0,0,65535
1783141535729061,0,5576,39444,32768,57325,37452,0,0,65535
1783141535730132,0,5911,40684,32768,56982,38985,0,0,65535
1783141535731200,0,6302,41907,32768,56544,40493,0,0,65535
1783141535732268,0,6749,43111,32768,56012,41971,0,0,65535
1783141535733335,0,7251,44293,32768,55388,43412,0,0,65535
1783141535734367,0,7806,45451,32768,54675,44811,0,0,65535
1783141535735481,0,8413,46582,32768,53876,46163,0,0,65535
1783141535736571,0,9072,47684,32768,52993,47462,0,0,65535
1783141535737651,0,9781,48755,32768,52030,48703,0,0,65535
1783141535738740,0,11342,50793,32768,49881,50992,0,0,65535
1783141535739874,0,12191,51756,32768,48703,52030,0,0,65535
1783141535742031,0,14017,53561,32768,46163,53876,0,0,65535
1783141535743171,0,14990,54399,32768,44811,54675,0,0,65535
1783141535744260,0,16000,55191,32768,43412,55388,0,0,65535
1783141535745381,0,17046,55937,32768,41971,56012,0,0,65535
1783141535746498,0,18125,56633,32768,40493,56544,0,0,65535
1783141535747593,0,19234,57279,32768,38985,56982,0,0,65535
1783141535748689,0,20372,57874,32768,37452,57325,0,0,65535
1783141535749776,0,22724,58904,32768,34337,57718,0,0,65535
1783141535750921,0,23933,59337,32768,32768,57768,0,0,65535
1783141535751992,0,25160,59714,32768,31199,57718,0,0,65535
1783141535753079,0,26404,60035,32768,29635,57570,0,0,65535
1783141535754167,0,27661,60298,32768,28084,57325,0,0,65535
1783141535756301,0,28928,60503,32768,26551,56982,0,0,65535
1783141535757369,0,30204,60650,32768,25043,56544,0,0,65535
1783141535758435,0,31485,60738,32768,23565,56012,0,0,65535
1783141535759453,0,32768,60768,32768,22124,55388,0,0,65535
1783141535760526,0,34051,60738,32768,20725,54675,0,0,65535
1783141535761598,0,36608,60503,32768,18074,52993,0,0,65535
1783141535762664,0,37875,60298,32768,16833,52030,0,0,65535
1783141535763734,0,39132,60035,32768,15655,50992,0,0,65535
1783141535764803,0,40376,59714,32768,14544,49881,0,0,65535
1783141535765857,0,41603,59337,32768,13506,48703,0,0,65535
1783141535766926,0,42812,58904,32768,12543,47462,0,0,65535
1783141535767996,0,43999,58416,32768,11660,46163,0,0,65535
1783141535769066,0,45164,57874,32768,10861,44811,0,0,65535
1783141535770135,0,46302,57279,32768,10148,43412,0,0,65535
1783141535771204,0,47411,56633,32768,9524,41971,0,0,65535
1783141535772274,0,49536,55191,32768,8554,38985,0,0,65535
1783141535773342,0,50546,54399,32768,8211,37452,0,0,65535
1783141535774368,0,51519,53561,32768,7966,35901,0,0,65535
1783141535775408,0,52453,52680,32768,7818,34337,0,0,65535
1783141535776477,0,53345,51756,32768,7768,32768,0,0,65535
1783141535777572,0,54194,50793,32768,7818,31199,0,0,65535
1783141535778642,0,54998,49792,32768,7966,29635,0,0,65535
1783141535779711,0,55755,48755,32768,8211,28084,0,0,65535
1783141535780781,0,56464,47684,32768,8554,26551,0,0,65535
1783141535781851,0,57123,46582,32768,8992,25043,0,0,65535
1783141535782922,0,58285,44293,32768,10148,22124,0,0,65535
1783141535783991,0,58787,43111,32768,10861,20725,0,0,65535
1783141535785060,0,59234,41907,32768,11660,19373,0,0,65535
1783141535786129,0,59625,40684,32768,12543,18074,0,0,65535
1783141535787197,0,59960,39444,32768,13506,16833,0,0,65535
1783141535788291,0,60237,38191,32768,14544,15655,0,0,65535
1783141535789388,0,60457,36926,32768,15655,14544,0,0,65535
1783141535790513,0,60619,35652,32768,16833,13506,0,0,65535
1783141535791625,0,60722,34372,32768,18074,12543,0,0,65535
1783141535792696,0,60766,33089,32768,19373,11660,0,0,65535
1783141535793760,0,60677,30524,32768,22124,10148,0,0,65535
1783141535794885,0,60545,29246,32768,23565,9524,0,0,65535
1783141535795972,0,60354,27977,32768,25043,8992,0,0,65535
1783141535797066,0,60106,26717,32768,26551,8554,0,0,65535
1783141535798182,0,59800,25470,32768,28084,8211,0,0,65535
1783141535799250,0,59436,24238,32768,29635,7966,0,0,65535
1783141535800373,0,59017,23025,32768,31199,7818,0,0,65535
1783141535801500,0,58543,21831,32768,32768,7768,0,0,65535
1783141535802572,0,58014,20661,32768,34337,7818,0,0,65535
1783141535804713,0,57433,19516,32768,35901,7966,0,0,65535
1783141535805824,0,55382,16259,32768,40493,8992,0,0,65535
1783141535806938,0,54601,15239,32768,41971,9524,0,0,65535
1783141535808006,0,53775,14257,32768,43412,10148,0,0,65535
1783141535810228,0,51991,12410,32768,46163,11660,0,0,65535
1783141535811296,0,51037,11550,32768,47462,12543,0,0,65535
1783141535812433,0,50045,10735,32768,48703,13506,0,0,65535
1783141535813517,0,49017,9966,32768,49881,14544,0,0,65535
1783141535814626,0,47955,9245,32768,50992,15655,0,0,65535
1783141535815699,0,46860,8573,32768,52030,16833,0,0,65535
1783141535816770,0,44585,7384,32768,53876,19373,0,0,65535
1783141535817923,0,43408,6869,32768,54675,20725,0,0,65535
1783141535819056,0,42210,6409,32768,55388,22124,0,0,65535
1783141535820128,0,40991,6003,32768,56012,23565,0,0,65535
1783141535821197,0,39756,5655,32768,56544,25043,0,0,65535
1783141535822302,0,38505,5363,32768,56982,26551,0,0,65535
1783141535823391,0,37243,5128,32768,57325,28084,0,0,65535
1783141535825524,0,35971,4952,32768,57570,29635,0,0,65535
1783141535826657,0,32768,32768,32768,32768,32768,0,0,65535
